date,Antigua_and_Barbuda,Bahamas,Barbados,Belize,Cuba,Dominica,Dominican_Republic,Grenada,Guyana,Haiti,Jamaica,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,Suriname,Trinidad_and_Tobago
11/4/2020,21,46,68,13,620,16,2759,14,45,33,65,12,15,12,10,112
12/4/2020,21,46,71,14,669,16,2967,14,45,33,69,12,15,12,10,113
13/4/2020,23,47,72,18,726,16,3167,14,45,40,73,12,15,12,10,113
14/4/2020,23,49,72,18,766,16,3286,14,47,40,73,14,15,12,10,113
15/4/2020,23,49,73,18,814,16,3614,14,55,41,125,14,15,12,10,114
16/4/2020,23,53,75,18,862,16,3755,14,55,41,143,14,15,12,10,114
17/4/2020,23,54,75,18,923,16,4126,14,63,43,143,14,15,12,10,114
18/4/2020,23,55,75,18,986,16,4335,14,63,44,163,14,15,12,10,114
19/4/2020,23,55,75,18,1035,16,4680,14,65,47,173,14,15,12,10,114
20/4/2020,23,60,75,18,1087,16,4964,14,65,57,223,15,15,12,10,114
21/4/2020,23,65,75,18,1137,16,5044,14,66,57,223,15,15,12,10,115
22/4/2020,24,65,75,18,1189,16,5300,15,67,62,233,15,15,13,10,115
23/4/2020,24,72,76,18,1235,16,5543,15,70,72,257,15,15,13,10,115
24/4/2020,24,73,77,18,1285,16,5749,15,73,72,288,15,15,14,10,115
25/4/2020,24,78,79,18,1337,16,5926,18,73,72,305,15,15,14,10,115
26/4/2020,24,72,77,18,1337,16,5926,15,73,72,288,15,15,14,10,115
